𤭢	亠人人十瓦
椽	木彑𧰨
舛	夕㐄
遄	辶山而
氚	气川
床	广木
窗	宀八丿囗夂
创	𠆢㔾刂
疮	疒𠆢㔾
闯	门马
怆	忄𠆢㔾
幢	巾立里
噇	口立里
吹	口欠
垂	千艹士
锤	钅千艹士
捶	扌千艹士
炊	火欠
槌	木辶𠂤
陲	⻖千艹士
棰	木千艹士
倕	亻千艹士
圌	囗山而
春	𡗗日
纯	纟屯
唇	辰口
蠢	𡗗日虫虫
淳	氵亠口子
醇	酉亠口子
椿	木𡗗日
鹑	亠口子鸟
莼	艹纟屯
蝽	虫𡗗日
瑃	𤣩𡗗日
䲠	鱼𡗗日
堾	土𡗗日
𬭚	钅亠口子
戳	习习亻{隹右}戈
龊	止凵人足
辍	车又又又又
踔	𧾷⺊日十
惙	忄又又又又
逴	辶⺊日十
此	止匕
次	冫欠
刺	朿刂
词	讠𠃌一口
辞	舌辛
慈	丷一幺幺心
赐	贝日勿
磁	石丷一幺幺
伺	亻𠃌一口
瓷	冫欠瓦
茨	艹冫欠
雌	止匕亻{隹右}
祠	礻𠃌一口
呲	口止匕
疵	疒止匕
泚	氵止匕
糍	米丷一幺幺
鹚	丷一幺幺鸟
茈	艹止匕
跐	𧾷止匕
玼	𤣩止匕
佽	亻冫欠
兹	丷一幺幺
莿	艹朿刂
𫚖	止匕鱼
从	人人
匆	勹丿丿丶
聪	耳丷口心
丛	人人一
葱	艹勹丿丿丶心
琮	𤣩宀示
淙	氵宀示
囱	丿囗夂
骢	马丿囗夂心
苁	艹人人
枞	木人人
璁	𤣩丿囗夂心
熜	火丿囗夂心
悰	忄宀示
凑	冫𡗗天
辏	车𡗗天
腠	⺼𡗗天
粗	米且
促	亻足
醋	酉卄一日
簇	竹方𠂉矢
猝	犭亠人人十
蹙	戊上小足
蹴	𧾷亠口小尤
卒	亠人人十
徂	彳且
殂	歹且
蔟	艹方𠂉矢
窜	宀八串
蹿	𧾷宀八串
篡	竹目大厶
撺	扌宀八串
攒	扌⺧儿⺧儿贝
汆	入水
爨	𦥑同木木大火
镩	钅宀八串
脆	⺼⺈厂㔾
催	亻山亻{隹右}
翠	习习亠人人十
崔	山亻{隹右}
摧	扌山亻{隹右}
粹	米亠人人十
悴	忄亠人人十
璀	𤣩山亻{隹右}
啐	口亠人人十
萃	艹亠人人十
瘁	疒亠人人十
淬	氵亠人人十
榱	木衣{⿻口一}
毳	毛毛毛
漼	氵山亻{隹右}
缞	纟衣{⿻口一}
存	𠂇丨子
村	木寸
寸	𬺰丶
忖	忄寸
皴	允夂皮
邨	屯⻏
错	钅卄一日
措	扌卄一日
挫	扌土人人
搓	扌⺶工
撮	扌日耳又
磋	石⺶工
蹉	𧾷⺶工
锉	钅土人人
厝	厂卄一日
矬	矢土人人
嵯	山⺶工
痤	疒土人人
鹾	⺊口㐅⺶工
脞	⺼土人人
瑳	𤣩⺶工
棤	木卄一日
莝	艹土人人
大	一人
打	扌丁
答	竹𠆢一口
达	辶大
搭	扌艹𠆢一口
哒	口辶大
瘩	疒艹𠆢一口
嗒	口艹𠆢一口
沓	水日
耷	大耳
鞑	革辶大
靼	革旦
妲	女旦
褡	衤艹𠆢一口
跶	𧾷辶大
怛	忄旦
笪	竹旦
垯	土辶大
溚	氵艹𠆢一口
炟	火旦
荙	艹辶大
鿎	石辶大
𨱏	钅艹𠆢一口
