𤭢	亠人人十瓦
垴	土亠凶
蛲	虫𫠠丿兀
硇	石丿囗㐅
臑	⺼雨而
峱	犭丑山
呢	口尸匕
讷	讠内
内	冂人
馁	饣爫女
嫩	女束攵
恁	亻丿士心
能	厶⺝匕匕
你	亻⺈小
尼	尸匕
妮	女尸匕
泥	氵尸匕
逆	辶屰
拟	扌𠄌丶人
腻	⺼弋二贝
倪	亻臼儿
霓	雨臼儿
匿	匚艹𠂇口
溺	氵𢎥𢎥
昵	日尸匕
睨	目臼儿
旎	方𠂉尸匕
怩	忄尸匕
猊	犭臼儿
鲵	鱼臼儿
伲	亻尸匕
坭	土尸匕
铌	钅尸匕
麑	鹿臼儿
薿	艹匕矢龴疋
𨺙	⻖臼儿
𫐐	车臼儿
𫠜	止凵人臼儿
年	𠂉㐄
念	𠆢一㇇心
黏	禾人氺占
拈	扌占
捻	扌𠆢一㇇心
碾	石尸卄一{𧘇-丿}
撵	扌夫夫车
蔫	艹正㇉一灬
廿	艹一
辇	夫夫车
鲇	鱼占
鲶	鱼𠆢一㇇心
埝	土𠆢一㇇心
粘	米占
娘	女良
酿	酉良
鸟	{鸟减一}一
尿	尸水
袅	{鸟减一}衣
茑	艹鸟
脲	⺼尸水
捏	扌日土
聂	耳又又
孽	艹𠂤辛子
涅	氵日土
蹑	𧾷耳又又
嗫	口耳又又
啮	口止凵人
臬	自木
镊	钅耳又又
镍	钅自木
蘖	艹𠂤辛木
颞	耳又又页
糵	艹𠂤辛米
陧	⻖日土
嵲	山自木
菍	艹𠆢一㇇心
𫔶	门自木
您	亻⺈小心
宁	宀丁
凝	冫匕矢龴疋
狞	犭宀丁
拧	扌宀丁
柠	木宀丁
咛	口宀丁
泞	氵宀丁
佞	亻二女
甯	宀心用
苧	艹宀丁
聍	耳宀丁
牛	𠂉十
扭	扌丑
纽	纟丑
妞	女丑
钮	钅丑
忸	忄丑
狃	犭丑
农	冖𧘇
浓	氵冖𧘇
哝	口冖𧘇
侬	亻冖𧘇
脓	⺼冖𧘇
秾	禾冖𧘇
𬪩	酉冖𧘇
耨	耒辰寸
怒	女又心
努	女又力
奴	女又
弩	女又弓
驽	女又马
孥	女又子
傉	亻辰寸
胬	女又肉
砮	女又石
笯	竹女又
暖	日爫一𠂇又
诺	讠艹𠂇口
挪	扌𭃂⻏
懦	忄雨而
喏	口艹𠂇口
糯	米雨而
傩	亻又亻{隹右}
搦	扌𢎥𢎥
锘	钅艹𠂇口
女	𡿨丿一
钕	钅女
恧	而心
衄	丿皿丑
虐	虍𰀂
疟	疒𰀂
噢	口丿冂釆大
喔	口尸𠫔土
欧	区欠
偶	亻田冂一丶
呕	口区
殴	区殳
鸥	区鸟
藕	艹耒田冂一丶
区	匚㐅
怄	忄区
瓯	区瓦
讴	讠区
沤	氵区
耦	耒田冂一丶
𠙶	凵了
𬉼	火区
怕	忄白
爬	爪巴
帕	巾白
啪	口扌白
趴	𧾷八
琶	𤣩王巴
葩	艹白巴
杷	木巴
筢	竹扌巴
舥	舟巴
潖	氵𤣩王巴
派	氵𠂆{𧘇}
排	扌非
拍	扌白
牌	片{卑上}十
徘	彳非
湃	氵龵一丰
俳	亻非
哌	口𠂆{𧘇}
簰	竹片{卑上}十
蒎	艹氵𠂆{𧘇}
迫	辶白
盘	舟皿
判	半刂
叛	半𠂆又
盼	目分
潘	氵釆田
攀	木木乂乂大手
畔	田半
蹒	𧾷艹两
磐	舟殳石
蟠	虫釆田
槃	舟殳木
爿	𠃊丆丨
泮	氵半
袢	衤半
磻	石釆田
襻	衤木木乂乂大手
胖	⺼半
旁	亠丷冖方
庞	广龙
彷	彳方
乓	丘丶
螃	虫亠丷冖方
滂	氵亠丷冖方
逄	辶夂㐄
雱	雨方
耪	耒亠丷冖方
鳑	鱼亠丷冖方
跑	𧾷包
泡	氵包
抛	扌九力
袍	衤包
咆	口包
庖	广包
狍	犭包
疱	疒包
匏	大一丂包
脬	⺼爫子
陪	⻖立口
配	酉己
佩	亻𠘨一巾
培	土立口
赔	贝立口
裴	非衣
沛	氵巿
呸	口丕
胚	⺼丕
帔	巾皮
辔	纟车纟口
霈	雨氵巿
旆	方𠂉巿
醅	酉立口
锫	钅立口
衃	丿皿不
喷	口十廾贝
盆	分皿
湓	氵分皿
碰	石丷一业
朋	月月
鹏	月月鸟
捧	扌𡗗𰀁
砰	石平
蓬	艹辶夂丰
篷	竹辶夂丰
彭	士口䒑彡
棚	木月月
膨	⺼士口䒑彡
澎	氵士口䒑彡
怦	忄平
嘭	口士口䒑彡
烹	亠口了灬
抨	扌平
芃	艹凡
硼	石月月
蟛	虫士口䒑彡
堋	土月月
椪	木丷一业
弸	弓月月
淜	氵月月
皮	{乛丿丨}又
批	扌匕匕
屁	尸匕匕
疲	疒皮
匹	匚儿
劈	尸口辛刀
披	扌皮
脾	⺼{卑上}十
啤	口{卑上}十
僻	亻尸口辛
霹	雨尸口辛
痞	疒不口
譬	尸口辛亠二口
噼	口尸口辛
琵	𤣩王匕匕
癖	疒尸口辛
媲	女丿囗㐅匕匕
丕	不一
毗	田匕匕
坯	土丕
纰	纟匕匕
睥	目{卑上}十
邳	不一⻏
砒	石匕匕
貔	豸丿囗㐅匕匕
枇	木匕匕
罴	罒去灬
圮	土己
鼙	士口䒑支{卑上}十
蚍	虫匕匕
铍	钅皮
郫	{卑上}十⻏
仳	亻匕匕
伾	亻丕
蜱	虫{卑上}十
埤	土{卑上}十
嚭	士口䒑口不口
陴	⻖{卑上}十
淠	氵田丌
甓	尸口辛瓦
狉	犭丕
澼	氵尸口辛
鲏	鱼皮
䴙	尸口辛鸟
苉	艹匹
𬳵	马丕
片	丿丄𠃍
偏	亻户冂卄
骗	马户冂卄
篇	竹户冂卄
翩	户冂卄习习
骈	马丷开
蹁	𧾷户冂卄
谝	讠户冂卄
胼	⺼丷开
犏	牜户冂卄
楩	木亻更
㛹	女亻更
𡎚	土户冂卄
飘	覀示风
漂	氵覀示
票	覀示
瞟	目覀示
嫖	女覀示
瓢	覀示瓜
缥	纟覀示
剽	覀示刂
朴	木卜
殍	歹爫子
嘌	口覀示
螵	虫覀示
蔈	艹覀示
薸	艹氵覀示
撇	扌⺌冂小攵
瞥	⺌冂小攵目
苤	艹丕
氕	气丿
𬭯	钅⺌冂小攵
品	口口口
拼	扌丷开
贫	分贝
频	止𣥂页
聘	耳由丂
嫔	女宀丘八
颦	止𣥂页{卑上}十
姘	女丷开
牝	牜匕
玭	𤣩匕匕
𬞟	艹止𣥂页
平	一丷十
凭	亻丿士几
评	讠平
瓶	丷开瓦
萍	艹氵平
苹	艹平
坪	土平
乒	丘丿
娉	女由丂
枰	木平
鲆	鱼平
俜	亻由丂
泙	氵平
洴	氵丷开
帡	巾丷开
荓	艹丷开
蚲	虫平
涄	氵由丂
玶	𤣩平
破	石皮
婆	氵皮女
颇	皮页
坡	土皮
魄	白鬼
泼	氵{𠃊丿}丶又
珀	𤣩白
叵	匚口
鄱	釆田⻏
粕	米白
笸	竹匚口
皤	白釆田
钋	钅卜
钷	钅匚口
桲	木十冖子
䥽	钅{𠃊丿}丶又
酦	酉{𠃊丿}丶又
剖	立口刂
抔	扌不
裒	衣臼
掊	扌立口
普	丷一业日
扑	扌卜
铺	钅甫
仆	亻卜
谱	讠丷一业日
葡	艹勹甫
菩	艹立口
噗	口业䒑夫
浦	氵甫
蒲	艹氵甫
濮	氵亻业䒑夫
璞	𤣩业䒑夫
圃	囗甫
溥	氵甫寸
匍	勹甫
莆	艹甫
蹼	𧾷业䒑夫
氆	毛丷一业日
潽	氵丷一业日
酺	酉甫
镨	钅丷一业日
镤	钅业䒑夫
蒱	艹扌甫
墣	土业䒑夫
穙	禾业䒑夫
起	土龰己
气	𠂉一⺄
其	卄二一八
七	一乚
器	口口犬口口
骑	马大可
齐	文{⿰丿丨}
弃	亠厶廾
妻	{十⺕}女
企	𠆢止
启	户口
旗	方𠂉卄二一八
欺	卄二一八欠
岂	山己
汽	氵气
棋	木卄二一八
琪	𤣩卄二一八
泣	氵立
凄	冫{十⺕}女
漆	氵木人氺
戚	戊上小
契	丰刀大
乞	𠂉乙
祈	礻斤
麒	鹿卄二一八
歧	止支
琦	𤣩大可
祁	礻⻏
绮	纟大可
栖	木西
炁	旡灬
淇	氵卄二一八
崎	山大可
砌	石七刀
蹊	𧾷爫幺大
祺	礻卄二一八
迄	辶𠂉乙
杞	木己
岐	山支
脐	⺼齐
颀	斤页
沏	氵七刀
跂	𧾷支
憩	舌自心
萋	艹{十⺕}女
嘁	口戊上小
耆	老日
芑	艹己
蜞	虫卄二一八
讫	讠𠂉乙
祇	礻氏
鳍	鱼老日
亓	一丌
葺	艹口耳
柒	氵七木
綦	卄二一八糸
蕲	艹单斤
畦	田土土
芪	艹氏
圻	土斤
萁	艹卄二一八
骐	马卄二一八
欹	大可欠
碛	石龶贝
汔	氵𠂉乙
锜	钅大可
槭	木戊上小
蛴	虫齐
屺	山己
玘	𤣩己
桤	木山己
埼	土大可
棨	户攵木
郪	{十⺕}女⻏
磜	石𱼀龴示
鲯	鱼卄二一八
愭	忄老日
碶	石丰刀大
俟	亻厶矢
婍	女大可
洓	氵朿
䓫	艹大可
𨙸	支⻏
𬨂	车氏
恰	忄𠆢一口
掐	扌⺈臼
洽	氵𠆢一口
拤	扌上卜
葜	艹丰刀大
袷	衤𠆢一口
髂	冎⺼宀夂口
前	丷一⺝刂
钱	钅戋
千	丿十
潜	氵夫夫曰
牵	大冖牛
倩	亻龶⺝
浅	氵戋
签	竹佥
歉	兼欠
欠	⺈人
乾	十十日𠂉乙
谦	讠兼
迁	辶千
遣	辶中一㠯
茜	艹西
芊	艹千
嵌	山甘欠
虔	虍文
铅	钅𠘧口
谴	讠辶中一㠯
钳	钅甘
黔	{里}灬𠆢一㇇
堑	车斤土
骞	宀𠀎八马
佥	𠆢一𭕄一
仟	亻千
缱	纟辶中一㠯
纤	纟千
阡	⻖千
钎	钅千
钤	钅𠆢一㇇
掮	扌户⺝
芡	艹欠
荨	艹彐寸
扦	扌千
愆	彳一丁氵心
悭	忄丨丨又土
搴	宀𠀎八手
慊	忄兼
褰	宀𠀎八衣
汧	氵开
肷	⺼欠
蒨	艹亻龶⺝
靬	革干
椠	车斤木
杄	木千
鹐	⺈臼鸟
岍	山开
圲	土千
伣	亻见
墘	土十十日𠂉乙
磏	石兼
𬘬	纟龶⺝
枪	木𠆢㔾
墙	土土丷囗口
抢	扌𠆢㔾
腔	⺼宀八工
呛	口𠆢㔾
跄	𧾷𠆢㔾
蔷	艹土丷囗口
锵	钅丬夕寸
羌	⺶乚
戕	爿戈
戗	𠆢㔾戈
襁	衤弓口虫
嫱	女土丷囗口
樯	木土丷囗口
镪	钅弓口虫
炝	火𠆢㔾
羟	羊𢀖
蜣	虫⺶乚
玱	𤣩𠆢㔾
锖	钅龶⺝
蔃	艹弓口虫
巧	工丂
悄	忄⺌⺝
瞧	目亻{隹右}灬
敲	亠口冂口⺊又
桥	木夭{⿰丿丨}
乔	夭{⿰丿丨}
俏	亻⺌⺝
翘	𫠠丿兀习习
窍	宀八工丂
鞘	革⺌⺝
憔	忄亻{隹右}灬
峭	山⺌⺝
跷	𧾷𫠠丿兀
侨	亻夭{⿰丿丨}
樵	木亻{隹右}灬
撬	扌毛毛毛
锹	钅禾火
谯	讠亻{隹右}灬
橇	木毛毛毛
诮	讠⺌⺝
荞	艹夭{⿰丿丨}
愀	忄禾火
劁	亻{隹右}灬刂
硗	石𫠠丿兀
鞒	革夭{⿰丿丨}
硚	石夭{⿰丿丨}
缲	纟口口口木
雀	小亻{隹右}
且	⺝一
切	七刀
窃	宀八七刀
怯	忄去
妾	立女
惬	忄匚夹
锲	钅丰刀大
挈	丰刀手
箧	竹匚夹
郄	㐅𠂇厶⻏
亲	立木
秦	𡗗禾
琴	𤣩王𠆢一㇇
侵	亻⺕冖又
勤	廿中王力
寝	宀丬⺕冖又
擒	扌𠆢亠凶禸
钦	钅欠
芹	艹斤
沁	氵心
禽	𠆢亠凶禸
覃	覀日十
噙	口𠆢亠凶禸
衾	𠆢一㇇衣
揿	扌钅欠
芩	艹𠆢一㇇
溱	氵𡗗禾
吣	口心
嗪	口𡗗禾
锓	钅⺕冖又
檎	木𠆢亠凶禸
骎	马⺕冖又
慬	忄廿中王
嵚	山钅欠
请	讠龶⺝
轻	车𢀖
清	氵龶⺝
青	龶⺝
情	忄龶⺝
庆	广大
晴	日龶⺝
倾	亻匕页
卿	𠂎卩{艮}
擎	艹句攵手
顷	匕页
蜻	虫龶⺝
箐	竹龶⺝
氢	气𢀖
罄	士𠃜殳缶
磬	士𠃜殳石
綮	户攵糸
氰	气龶⺝
黥	{里}灬亠口小
檠	艹句攵木
鲭	鱼龶⺝
苘	艹冂口
圊	囗龶⺝
碃	石龶⺝
庼	广匕页
勍	亠口小力
穷	宀八力
琼	𤣩亠口小
穹	宀八弓
茕	艹冖⺄十
邛	工⻏
筇	竹工⻏
蛩	工凡虫
銎	工凡金
䓖	艹宀八力
求	𬺰冫丿丶丶
球	𤣩求
秋	禾火
丘	斤一
邱	丘⻏
囚	囗人
裘	求衣
酋	丷酉
虬	虫乚
糗	米自犬
鳅	鱼禾火
蚯	虫丘
俅	亻求
泅	氵囗人
遒	辶丷酉
逑	辶求
楸	木禾火
犰	犭九
萩	艹禾火
蝤	虫丷酉
璆	𤣩习习𠆢彡
巯	𢀖厶一𫶧
赇	贝求
鹙	禾火鸟
鞧	革丷酉
鼽	自田丌九
訄	九亠二口
𨱇	钅求
去	土厶
取	耳又
趣	土龰耳又
曲	囗艹
屈	尸出
躯	身区
驱	马区
娶	耳又女
趋	土龰⺈彐
渠	氵巨木
觑	虍业见
瞿	目目亻{隹右}
岖	山区
蛐	虫曲
蛆	虫且
衢	彳一丁目目亻{隹右}
祛	礻去
黢	{里}灬允夂
癯	疒目目亻{隹右}
阒	门目犬
龋	止凵人禹
蕖	艹氵巨木
蘧	艹辶虍豕
朐	月句
璩	𤣩虍豕
劬	句力
磲	石氵巨木
诎	讠出
蠼	虫目目亻{隹右}又
袪	衤去
氍	目目亻{隹右}毛
鸲	句鸟
麹	龶夂勹米
胠	⺼去
灈	氵目目亻{隹右}
鼩	臼{鼠下}句
竘	立句
戌	戊{一}
㭕	木去
䓛	艹尸出
坥	土且
𪨰	山曲
𫭟	土区
全	𠆢王
权	木又
拳	龹手
劝	又力
泉	白水
犬	大丶
券	龹刀
蜷	虫龹㔾
痊	疒𠆢王
诠	讠𠆢王
荃	艹𠆢王
颧	艹口口亻{隹右}页
绻	纟龹㔾
铨	钅𠆢王
筌	竹𠆢王
鬈	E一厶彡龹㔾
醛	酉艹𠆢王
悛	忄允夂
佺	亻𠆢王
畎	田犬
棬	木龹㔾
鳈	鱼白水
辁	车𠆢王
婘	女龹㔾
瑔	𤣩白水
𨟠	目目亻{隹右}⻏
却	去卩
确	石⺈用
缺	缶夬
瘸	疒力口肉
鹊	卄一日鸟
阙	门屰欠
阕	门癶天
榷	木冖亻{隹右}
炔	火夬
悫	士冗心
碏	石卄一日
埆	土⺈用
𬒈	⺍冖石
群	尹口羊
裙	衤尹口
逡	辶允夂
囷	囗禾
然	𱼀犬灬
染	氵九木
燃	火𱼀犬灬
冉	冂土
髯	E一厶彡冉
苒	艹冉
蚺	虫冉
䎃	冉习习
让	讠上
嚷	口襄
壤	土襄
攘	扌襄
瓤	襄瓜
禳	礻襄
穰	禾襄
瀼	氵襄
蘘	艹襄
儴	亻襄
绕	纟𫠠丿兀
扰	扌尤
饶	饣𫠠丿兀
娆	女𫠠丿兀
桡	木𫠠丿兀
荛	艹𫠠丿兀
热	扌丸灬
惹	艹𠂇口心
人	丿乀
任	亻丿士
认	讠人
忍	刃心
仁	亻二
刃	刀丶
韧	韦刃
壬	丿士
饪	饣丿士
仞	亻刃
纫	纟刃
稔	禾𠆢一㇇心
荏	艹亻丿士
妊	女丿士
衽	衤丿士
轫	车刃
纴	纟丿士
讱	讠刃
葚	艹卄二匸八
仍	亻乃
扔	扌乃
日	囗一
驲	马日
容	宀谷
荣	艹冖木
融	鬲虫
蓉	艹宀谷
绒	纟戈十
溶	氵宀谷
戎	戈十
榕	木宀谷
茸	艹耳
熔	火宀谷
冗	冖几
嵘	山艹冖木
镕	钅宀谷
蝾	虫艹冖木
狨	犭戈十
瑢	𤣩宀谷
肉	内人
柔	矛木
揉	扌矛木
蹂	𧾷矛木
糅	米矛木
鞣	革矛木
𫐓	车矛木
如	女口
入	丿乀
辱	辰寸
乳	爫子乚
儒	亻雨而
茹	艹女口
汝	氵女
蠕	虫雨而
孺	子雨而
褥	衤辰寸
嚅	口雨而
濡	氵雨而
缛	纟辰寸
襦	衤雨而
溽	氵辰寸
蓐	艹辰寸
洳	氵女口
薷	艹雨而
颥	雨而页
嬬	女雨而
铷	钅女口
软	车欠
阮	⻖元
堧	土而大
瓀	𤣩雨而
媆	女而大
瑞	𤣩山而
锐	钅丷兄
蕊	艹心心心
睿	⺊冖一{八人}目
芮	艹内
蚋	虫内
蕤	艹豕生
枘	木内
汭	氵内
润	氵门王
闰	门王
若	艹𠂇口
弱	𢎥𢎥
偌	亻艹𠂇口
箬	竹艹𠂇口
婼	女艹𠂇口
爇	艹土儿土丸灬
蒻	艹𢎥𢎥
鄀	艹𠂇口⻏
撒	扌卄一⺼攵
洒	氵西
飒	立风
仨	亻三
萨	艹⻖亠丷厂
卅	一川
靸	革及
挲	氵少手
潵	氵卄一⺼攵
脎	⺼㐅木
赛	宀𠀎八贝
塞	宀𠀎八土
腮	⺼田心
噻	口宀𠀎八土
鳃	鱼田心
三	一二
散	卄一⺼攵
伞	𠆢{伞下}
叁	厶大三
馓	饣卄一⺼攵
毵	厶大彡毛
糁	米厶大彡
丧	土丷{𧘇-丿}
桑	又又又木
嗓	口又又又木
搡	扌又又又木
颡	又又又木页
磉	石又又又木
扫	扌彐
骚	马叉虫
嫂	女𦥔又
搔	扌叉虫
臊	⺼口口口木
瘙	疒叉虫
缫	纟巛果
埽	土彐冖巾
溞	氵叉虫
色	⺈巴
瑟	𤣩王必
涩	氵刃止
啬	土丷囗口
穑	禾土丷囗口
铯	钅⺈巴
璱	𤣩𤣩王必
森	木木木
僧	亻丷囗⺌日
啥	口𠆢一古
傻	亻丿囗㐅儿夊
杀	㐅木
莎	艹氵少
煞	⺈彐攵灬
纱	纟少
沙	氵少
厦	厂𦣻夂
霎	雨立女
砂	石少
鲨	氵少鱼
裟	氵少衣
铩	钅㐅木
嗄	口𦣻夂
歃	千臼欠
痧	疒氵少
唼	口立女
杉	木彡
晒	日西
筛	竹リ一巾
山	凵丨
删	册刂
闪	门人
善	羊䒑口
扇	户习习
衫	衤彡
珊	𤣩册
擅	扌亠囗口旦
姗	女册
讪	讠山
陕	⻖夹
煽	火户习习
膳	⺼羊䒑口
跚	𧾷册
潸	氵林⺝
缮	纟羊䒑口
汕	氵山
赡	贝⺈厂八亠二口
鳝	鱼羊䒑口
舢	舟山
苫	艹占
嬗	女亠囗口旦
鄯	羊䒑口⻏
骟	马户习习
蟮	虫羊䒑口
墡	土羊䒑口
剡	火火刂
疝	疒山
芟	艹殳
埏	土廴正
钐	钅彡
嶦	山⺈厂八亠二口
晱	日火火
栅	木册
烻	火廴正
𫮃	土丷田十
上	⺊一
伤	亻𠂉力
商	亠丷冂八口
尚	⺌冂口
赏	龸口贝
晌	日丿冂口
殇	歹𠂉𠄎丿丿
觞	⺈用𠂉𠄎丿丿
熵	火亠丷冂八口
墒	土亠丷冂八口
绱	纟⺌冂口
垧	土丿冂口
少	小丿
烧	火𫠠丿兀
稍	禾⺌⺝
绍	纟刀口
哨	口⺌⺝
邵	刀口⻏
勺	勹丶
梢	木⺌⺝
韶	立日刀口
劭	刀口力
捎	扌⺌⺝
芍	艹勺
苕	艹刀口
艄	舟⺌⺝
筲	竹⺌⺝
潲	氵禾⺌⺝
蛸	虫⺌⺝
睄	目⺌⺝
召	刀口
柖	木刀口
玿	𤣩刀口
射	身寸
设	讠殳
舍	𠆢一古
蛇	虫宀匕
舌	千口
涉	氵止𣥂
摄	扌耳又又
社	礻土
奢	大耂日
慑	忄耳又又
赦	赤攵
折	扌斤
佘	𠆢示
麝	鹿身寸
赊	贝𠆢示
畲	𠆢示田
猞	犭𠆢一古
歙	𠆢一口习习欠
滠	氵耳又又
厍	厂车
拾	扌𠆢一口
𪨶	山大车
谁	讠亻{隹右}
神	礻申
深	氵⺳木
身	自才
甚	卄二匸八
什	亻十
伸	亻申
沈	氵冖儿
审	宀申
申	田丨
慎	忄十{具-八}八
呻	口申
渗	氵厶大彡
婶	女宀申
绅	纟申
肾	丨丨又⺝
莘	艹辛
珅	𤣩申
蜃	辰虫
哂	口西
娠	女辰
燊	火火火木
瘆	疒厶大彡
椹	木卄二匸八
砷	石申
诜	讠⺧儿
甡	生生
谂	讠𠆢一㇇心
矧	矢弓丨
胂	⺼申
侁	亻⺧儿
瞫	目覀日十
鲹	鱼厶大彡
屾	山山
𬬹	钅申
𬳽	马⺧儿
生	丿龶
声	士𠃜
圣	又土
胜	⺼生
升	丿廾
省	少目
剩	千北人刂
绳	纟口电
牲	牜生
笙	竹生
甥	生田力
昇	日丿廾
嵊	山千北人
眚	生目
陞	⻖丿廾土
是	日一龰
时	日寸
事	古丨{肀亅}
实	宀大⺀
十	一丨
师	リ一巾
使	亻吏
屎	尸米
世	廿𠃊
始	女厶口
失	丿夫
士	十一
湿	氵日业
识	讠只
视	礻见
势	扌丸力
市	亠巾
室	宀𠫔土
式	弋工
示	二小
试	讠弋工
史	口丿乀
食	𠆢丶艮
施	方𠂉也
适	辶舌
释	釆又𰀁
诗	讠土寸
尸	𠃍一丿
氏	丿𠃊一乚
侍	亻土寸
饰	饣𠂉巾
誓	扌斤亠二口
驶	马史
逝	辶扌斤
狮	犭リ一巾
噬	口竹工人人
仕	亻士
矢	𠂉大
拭	扌弋工
嗜	口老日
似	亻𠄌丶人
蚀	饣虫
恃	忄土寸
柿	木亠巾
弑	㐅木弋工
轼	车弋工
虱	⺄丿虫
谥	讠丷一八皿
舐	舌氏
媞	女日一龰
豕	一𧰨
莳	艹日寸
筮	竹工人人
蓍	艹老日
螫	赤攵虫
炻	火石
鲥	鱼日寸
奭	大百百
湜	氵日一龰
埘	土日寸
酾	酉一冂丶冂丶
祏	礻石
栻	木弋工
贳	世贝
铈	钅亠巾
鲺	鱼⺄丿虫
鼫	臼{鼠下}石
邿	土寸⻏
鸤	尸鸟
嘘	口虍业
峙	山土寸
殖	歹十{具-八}
浉	氵リ一巾
襫	衤大百百
䏡	⺼示
䴓	帀鸟
𫚕	鱼リ一巾
𬤊	讠日一龰
手	丿于
受	爫冖又
收	丩攵
首	丷一自
守	宀寸
熟	亠口子丸灬
兽	丷田一口
授	扌爫冖又
瘦	疒𦥔又
售	亻{隹右}口
寿	{寿上丰}寸
狩	犭宀寸
绶	纟爫冖又
艏	舟丷一自
书	𠃍𠃌丨丶
数	米女攵
术	木丶
树	木又寸
属	尸禹
叔	上小又
束	古丨丨人
舒	𠆢一古予
输	车𠆢一月刂
述	辶术
殊	歹丿未
鼠	臼{鼠下}
疏	⺪厶一𫶧
淑	氵上小又
竖	丨丨又立
署	罒耂日
墅	里予土
梳	木厶一𫶧
蜀	⺫勹虫
恕	女口心
倏	亻丨攵犬
暑	日耂日
庶	广廿灬
漱	氵束欠
赎	贝十乛大⺀
姝	女丿未
枢	木区
蔬	艹⺪厶一𫶧
薯	艹罒耂日
曙	日罒耂日
抒	扌予
孰	亠口子丸
戍	戊丶
塾	亠口子丸土
纾	纟予
澍	氵士口䒑寸
黍	禾人氺
沭	氵术
秫	禾术
殳	几又
菽	艹上小又
腧	⺼𠆢一月刂
毹	𠆢一月刂毛
摅	扌虍心
婌	女上小又
鄃	𠆢一月刂⻏
隃	⻖𠆢一月刂
陎	⻖丿未
𬬸	钅术
刷	尸巾刂
耍	而女
唰	口尸巾刂
帅	リ巾
摔	扌亠幺冫丿丶十
甩	用乚
衰	衣{⿻口一}
蟀	虫亠幺冫丿丶十
栓	木𠆢王
拴	扌𠆢王
涮	氵尸巾刂
闩	门一
腨	⺼山而
双	又又
爽	大乂乂乂乂
霜	雨木目
孀	女雨木目
鹴	雨木目鸟
骦	马雨木目
礵	石雨木目
水	丨㇇丿ㄟ
睡	目千艹士
税	禾丷兄
帨	巾丷兄
说	讠丷兄
顺	川页
瞬	目爫冖夕㐄
吮	口允
舜	爫冖夕㐄
楯	木𠂆十目
烁	火乐
硕	石页
朔	屰月
铄	钅乐
槊	屰月木
搠	扌屰月
妁	女勺
蒴	艹屰月
死	歹匕
四	囗儿
思	田心
斯	卄二一八斤
司	𠃌一口
丝	{纟上}{纟上}一
私	禾厶
寺	土寸
撕	扌卄二一八斤
肆	E一厶聿
嘶	口卄二一八斤
厮	厂卄二一八斤
祀	礻巳
嗣	口冂卄𠃌一口
饲	饣𠃌一口
巳	コ乚
泗	氵四
咝	口丝
姒	女𠄌丶人
汜	氵巳
驷	马四
鸶	{纟上}{纟上}一鸟
兕	凹儿
涘	氵厶矢
缌	纟田心
蛳	虫リ一巾
澌	氵卄二一八斤
锶	钅田心
笥	竹𠃌一口
耜	耒㠯
飔	风田心
凘	冫卄二一八斤
虒	𠂆虍几
㟃	山𠃌一口
楒	木田心
送	辶丷天
松	木公
宋	宀木
耸	人人耳
诵	讠龴用
怂	人人心
𪨊	尸人人
颂	公页
嵩	山亠口冂口
悚	忄束
讼	讠公
忪	忄公
淞	氵木公
崧	山木公
竦	立束
凇	冫木公
菘	艹木公
娀	女戈十
㧐	扌又又
搜	扌𦥔又
艘	舟𦥔又
嗽	口束欠
嗖	口𦥔又
叟	𦥔又
飕	风𦥔又
擞	扌米女攵
馊	饣𦥔又
薮	艹米女攵
廋	广𦥔又
溲	氵𦥔又
嗾	口方𠂉矢
锼	钅𦥔又
瞍	目𦥔又
蒐	艹鬼
螋	虫𦥔又
诉	讠斥
速	辶束
苏	艹办
素	龶糸
宿	宀亻百
俗	亻谷
肃	肀{⿰丿丨}八
塑	屰月土
酥	酉禾
簌	竹束欠
粟	覀米
稣	鱼禾
溯	氵屰月
愫	忄龶糸
夙	几歹
谡	讠田八夂
窣	宀八亠人人十
蔌	艹束欠
涑	氵束
嗉	口龶糸
僳	亻覀米
觫	⺈用束
骕	马肀{⿰丿丨}八
甦	更生
鹔	肀{⿰丿丨}八鸟
傃	亻龶糸
蹜	𧾷宀亻百
缩	纟宀亻百
𫗧	饣束
算	竹目廾
酸	酉允夂
蒜	艹示示
狻	犭允夂
虽	口虫
随	⻖辶𠂇月
岁	山夕
碎	石亠人人十
遂	辶丷豕
隋	⻖𠂇工月
髓	冎⺼辶𠂇工月
祟	出示
穗	禾{惠-心}心
邃	辶穴丷豕
隧	⻖辶丷豕
绥	纟爫女
燧	火辶丷豕
睢	目亻{隹右}
眭	目土土
荽	艹爫女
谇	讠亠人人十
濉	氵目亻{隹右}
穟	禾辶丷豕
璲	𤣩辶丷豕
襚	衤辶丷豕
旞	方𠂉辶丷豕
𫟦	车辶丷豕
𬭼	钅辶丷豕
孙	子小
损	扌口贝
笋	竹尹
隼	亻{隹右}十
荪	艹子小
狲	犭子小
榫	木亻{隹右}十
飧	夕𠆢丶艮
所	戶斤
索	十冖糸
锁	钅⺌贝
嗦	口十冖糸
梭	木允夂
琐	𤣩⺌贝
唆	口允夂
娑	氵少女
蓑	艹衣{⿻口一}
桫	木氵少
唢	口⺌贝
睃	目允夂
嗍	口屰月
羧	羊允夂
溹	氵十冖糸
他	亻也
她	女也
它	宀匕
塔	土艹𠆢一口
踏	𧾷水日
拓	扌石
塌	土日习习
榻	木日习习
蹋	𧾷日习习
遢	辶日习习
挞	扌辶大
趿	𧾷及
